epoch,train_loss,val_loss,learning_rate,epoch_time_seconds,mAP50,mAP50_95
1,1.611464657306671,,1e-05,,,
2,1.3476712112426759,,1e-05,,0.19258235394954681,0.12774665653705597
3,1.276919397274653,,1e-05,,,
4,1.1137704996665319,,1e-05,,0.47277653217315674,0.32827335596084595
5,1.0503972436189652,,1e-05,,,
6,1.1239441159566244,,1e-05,,0.4153229296207428,0.27286049723625183
7,1.187503267010053,,1e-05,,,
8,1.0748111639420193,,1e-05,,0.619139552116394,0.4470207393169403
9,0.9547669365803401,,1e-05,,,
10,0.926139111161232,,1e-05,,0.6715569496154785,0.4920743405818939
