epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7888,0.99711,1.49731,1.25554,0.50817,0.49056,0.4648,0.29051,1.10824,1.6061,1.39174,0.000368363,0.000368363,0.000368363
2,159.17,1.22433,1.49056,1.42707,0.36266,0.32328,0.29431,0.15936,1.47143,1.65632,1.69736,0.00071432,0.00071432,0.00071432
3,234.196,1.32212,1.62054,1.49748,0.39461,0.36171,0.31492,0.16584,1.49479,1.85972,1.68573,0.00103583,0.00103583,0.00103583
4,307.01,1.30942,1.59118,1.50087,0.52193,0.30973,0.33433,0.1705,1.44537,1.77338,1.70944,0.00100101,0.00100101,0.00100101
5,381.558,1.26698,1.5431,1.46964,0.39498,0.43223,0.39465,0.21247,1.31292,1.62029,1.54739,0.000964348,0.000964348,0.000964348
6,455.864,1.23863,1.46621,1.44724,0.64788,0.38088,0.46297,0.29851,1.27399,1.43038,1.51201,0.000927685,0.000927685,0.000927685
7,529.032,1.20103,1.42911,1.4282,0.47954,0.47279,0.45356,0.27633,1.28797,1.40555,1.5094,0.000891022,0.000891022,0.000891022
8,604.24,1.15744,1.37475,1.39749,0.52679,0.47189,0.47171,0.31279,1.20828,1.32799,1.45112,0.000854359,0.000854359,0.000854359
9,677.053,1.13227,1.3034,1.36665,0.49912,0.53984,0.4935,0.32166,1.20847,1.32782,1.42479,0.000817696,0.000817696,0.000817696
10,750.696,1.10359,1.259,1.34937,0.49741,0.52961,0.48292,0.31626,1.17134,1.33242,1.39822,0.000781033,0.000781033,0.000781033
11,825.01,1.08866,1.22727,1.34514,0.51262,0.45933,0.51043,0.34877,1.14327,1.27194,1.40019,0.00074437,0.00074437,0.00074437
12,898.025,1.05168,1.19166,1.31789,0.52285,0.57371,0.54429,0.38871,1.08062,1.20279,1.34024,0.000707707,0.000707707,0.000707707
13,972.135,1.02758,1.16239,1.3007,0.57977,0.53669,0.5568,0.38836,1.09158,1.16802,1.3306,0.000671044,0.000671044,0.000671044
14,1045.68,1.01879,1.13723,1.29831,0.53754,0.60099,0.55803,0.39097,1.05238,1.17984,1.31941,0.000634381,0.000634381,0.000634381
15,1119.08,0.99196,1.10377,1.27393,0.53581,0.58621,0.54278,0.39551,1.06215,1.22175,1.32239,0.000597718,0.000597718,0.000597718
16,1193.78,0.98376,1.07204,1.26387,0.52637,0.61109,0.58515,0.42945,1.04347,1.13546,1.28566,0.000561055,0.000561055,0.000561055
17,1267.33,0.96575,1.03351,1.25048,0.58493,0.58042,0.58481,0.42701,0.97994,1.07325,1.25706,0.000524392,0.000524392,0.000524392
18,1341.61,0.93961,0.9989,1.23599,0.67626,0.57992,0.6262,0.46008,1.0017,1.09454,1.26483,0.000487729,0.000487729,0.000487729
19,1414.77,0.91303,0.9745,1.22621,0.58293,0.62029,0.61323,0.44648,1.01679,1.07481,1.29472,0.000451066,0.000451066,0.000451066
20,1488.54,0.9022,0.95987,1.21057,0.54567,0.63624,0.61449,0.45865,0.98453,1.04367,1.25472,0.000414403,0.000414403,0.000414403
21,1563.59,0.87071,0.87104,1.18256,0.58488,0.63474,0.62455,0.4584,0.99685,1.07633,1.27837,0.00037774,0.00037774,0.00037774
22,1633.78,0.84711,0.81894,1.1715,0.63,0.60197,0.60803,0.44631,0.99935,1.0466,1.27108,0.000341077,0.000341077,0.000341077
23,1704.58,0.83138,0.78643,1.15689,0.60658,0.65109,0.61606,0.46012,0.95287,1.02003,1.23436,0.000304414,0.000304414,0.000304414
24,1775.71,0.80866,0.75264,1.14034,0.61279,0.62514,0.62335,0.47242,0.96599,1.02035,1.24792,0.000267751,0.000267751,0.000267751
25,1845.64,0.77984,0.70987,1.1234,0.63929,0.62537,0.62055,0.47682,0.95596,1.00353,1.23592,0.000231088,0.000231088,0.000231088
26,1917.79,0.76228,0.68724,1.11054,0.64218,0.62657,0.65893,0.50318,0.95609,0.99258,1.22755,0.000194425,0.000194425,0.000194425
27,1988.2,0.73732,0.65247,1.08695,0.67327,0.61126,0.64823,0.50583,0.92804,0.99295,1.21891,0.000157762,0.000157762,0.000157762
28,2059.2,0.71347,0.62731,1.07004,0.64995,0.64644,0.64637,0.50252,0.93633,0.97128,1.22246,0.000121099,0.000121099,0.000121099
29,2129.83,0.69787,0.60038,1.0704,0.65409,0.60963,0.64259,0.49803,0.90687,0.97896,1.2058,8.4436e-05,8.4436e-05,8.4436e-05
30,2199.39,0.69114,0.59025,1.05853,0.6763,0.61569,0.64769,0.50531,0.91079,0.97977,1.19964,4.7773e-05,4.7773e-05,4.7773e-05
