epoch,train_loss,val_loss,learning_rate,epoch_time_seconds,precision,recall,mAP50,mAP50_95
1,3.7499599999999997,4.10608,0.000368363,,0.50817,0.49056,0.4648,0.29051
2,4.14196,4.82511,0.00071432,,0.36266,0.32328,0.29431,0.15936
3,4.4401399999999995,5.040240000000001,0.00103583,,0.39461,0.36171,0.31492,0.16584
4,4.40147,4.92819,0.00100101,,0.52193,0.30973,0.33433,0.1705
5,4.27972,4.4806,0.000964348,,0.39498,0.43223,0.39465,0.21247
6,4.15208,4.21638,0.000927685,,0.64788,0.38088,0.46297,0.29851
7,4.058339999999999,4.202920000000001,0.000891022,,0.47954,0.47279,0.45356,0.27633
8,3.92968,3.98739,0.000854359,,0.52679,0.47189,0.47171,0.31279
9,3.80232,3.96108,0.000817696,,0.49912,0.53984,0.4935,0.32166
10,3.71196,3.90198,0.000781033,,0.49741,0.52961,0.48292,0.31626
11,3.6610699999999996,3.8154000000000003,0.00074437,,0.51262,0.45933,0.51043,0.34877
12,3.56123,3.62365,0.000707707,,0.52285,0.57371,0.54429,0.38871
13,3.4906699999999997,3.5902,0.000671044,,0.57977,0.53669,0.5568,0.38836
14,3.4543299999999997,3.55163,0.000634381,,0.53754,0.60099,0.55803,0.39097
15,3.3696599999999997,3.60629,0.000597718,,0.53581,0.58621,0.54278,0.39551
16,3.3196700000000003,3.46459,0.000561055,,0.52637,0.61109,0.58515,0.42945
17,3.24974,3.31025,0.000524392,,0.58493,0.58042,0.58481,0.42701
18,3.1745,3.36107,0.000487729,,0.67626,0.57992,0.6262,0.46008
19,3.11374,3.3863200000000004,0.000451066,,0.58293,0.62029,0.61323,0.44648
20,3.07264,3.28292,0.000414403,,0.54567,0.63624,0.61449,0.45865
21,2.92431,3.3515499999999996,0.00037774,,0.58488,0.63474,0.62455,0.4584
22,2.8375500000000002,3.31703,0.000341077,,0.63,0.60197,0.60803,0.44631
23,2.7747,3.2072599999999998,0.000304414,,0.60658,0.65109,0.61606,0.46012
24,2.7016400000000003,3.23426,0.000267751,,0.61279,0.62514,0.62335,0.47242
25,2.61311,3.19541,0.000231088,,0.63929,0.62537,0.62055,0.47682
26,2.56006,3.17622,0.000194425,,0.64218,0.62657,0.65893,0.50318
27,2.4767400000000004,3.1399,0.000157762,,0.67327,0.61126,0.64823,0.50583
28,2.41082,3.13007,0.000121099,,0.64995,0.64644,0.64637,0.50252
29,2.3686499999999997,3.09163,8.4436e-05,,0.65409,0.60963,0.64259,0.49803
30,2.33992,3.0902000000000003,4.7773e-05,,0.6763,0.61569,0.64769,0.50531
