epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.896,1.00872,1.29709,1.27597,0.53453,0.47874,0.45099,0.29524,1.18796,1.28993,1.40963,0.00036999,0.00036999,0.00036999
2,769.906,1.17766,1.37536,1.40108,0.39122,0.45444,0.38533,0.22661,1.21716,1.37834,1.41926,0.000715893,0.000715893,0.000715893
3,1137.86,1.18834,1.38037,1.41324,0.63839,0.44632,0.50278,0.32969,1.15992,1.22385,1.38043,0.00103735,0.00103735,0.00103735
4,1504.44,1.1419,1.32016,1.38359,0.60933,0.50022,0.51666,0.36451,1.07058,1.15365,1.29377,0.00100101,0.00100101,0.00100101
5,1866.36,1.09108,1.23625,1.34521,0.5183,0.59351,0.56059,0.39474,1.03172,1.06231,1.26945,0.000964348,0.000964348,0.000964348
6,2225.11,1.06088,1.18373,1.32152,0.57865,0.57971,0.60224,0.43894,0.98037,0.98074,1.21686,0.000927685,0.000927685,0.000927685
7,2589.3,1.0326,1.14934,1.30237,0.58549,0.59336,0.59728,0.42841,0.9664,0.98117,1.2086,0.000891022,0.000891022,0.000891022
8,2947.85,1.00192,1.10681,1.2844,0.60495,0.61627,0.63626,0.48382,0.91937,0.94592,1.16924,0.000854359,0.000854359,0.000854359
9,3305.78,0.98548,1.08321,1.26521,0.61729,0.63326,0.64813,0.49493,0.90989,0.8892,1.15987,0.000817696,0.000817696,0.000817696
10,3667.12,0.96875,1.04297,1.25417,0.71443,0.58418,0.65816,0.50572,0.88896,0.90551,1.14444,0.000781033,0.000781033,0.000781033
11,4026.54,0.94391,1.00958,1.23648,0.59299,0.64214,0.66154,0.50798,0.86359,0.88194,1.12776,0.00074437,0.00074437,0.00074437
12,4388.43,0.94406,1.01334,1.23367,0.70422,0.58402,0.66459,0.51715,0.85673,0.84846,1.12032,0.000707707,0.000707707,0.000707707
13,4753.74,0.9176,0.97682,1.21667,0.69963,0.60988,0.6804,0.5241,0.84026,0.83985,1.11597,0.000671044,0.000671044,0.000671044
14,5118.56,0.91052,0.96031,1.21458,0.70875,0.62059,0.69267,0.53562,0.82033,0.8255,1.08961,0.000634381,0.000634381,0.000634381
15,5482.62,0.89778,0.94194,1.20376,0.6189,0.65733,0.6785,0.52424,0.79999,0.81001,1.07963,0.000597718,0.000597718,0.000597718
16,5845.58,0.88597,0.92108,1.19426,0.64199,0.6539,0.69091,0.54016,0.81542,0.79972,1.08643,0.000561055,0.000561055,0.000561055
17,6208.42,0.87402,0.90592,1.18958,0.67168,0.67083,0.70414,0.54664,0.7984,0.78708,1.07531,0.000524392,0.000524392,0.000524392
18,6573.33,0.86471,0.89371,1.18021,0.67554,0.67088,0.70001,0.55251,0.79219,0.78334,1.07104,0.000487729,0.000487729,0.000487729
19,6937.39,0.85058,0.87097,1.16951,0.69894,0.65905,0.71595,0.56479,0.78998,0.77393,1.06845,0.000451066,0.000451066,0.000451066
20,7298.97,0.84223,0.85459,1.16574,0.66781,0.65958,0.71273,0.56143,0.77435,0.75846,1.05014,0.000414403,0.000414403,0.000414403
21,7654.44,0.80139,0.75803,1.12964,0.65694,0.68887,0.72186,0.56931,0.77062,0.76031,1.05868,0.00037774,0.00037774,0.00037774
22,8010.88,0.786,0.72786,1.11695,0.66641,0.67234,0.71767,0.56566,0.77065,0.74533,1.05215,0.000341077,0.000341077,0.000341077
23,8368.04,0.76779,0.70936,1.10422,0.66759,0.67889,0.71933,0.57259,0.77118,0.73875,1.05906,0.000304414,0.000304414,0.000304414
24,8722.48,0.75145,0.67906,1.08783,0.6895,0.67882,0.72224,0.57612,0.75692,0.7388,1.04104,0.000267751,0.000267751,0.000267751
25,9079.85,0.739,0.66759,1.08154,0.70694,0.66146,0.72674,0.57981,0.7567,0.7235,1.04368,0.000231088,0.000231088,0.000231088
26,9435.3,0.7264,0.64716,1.07175,0.71861,0.65369,0.72651,0.58164,0.76105,0.71803,1.04236,0.000194425,0.000194425,0.000194425
27,9791.05,0.70972,0.62786,1.05867,0.69585,0.67035,0.73409,0.58781,0.7534,0.71315,1.0405,0.000157762,0.000157762,0.000157762
28,10146.2,0.70061,0.61262,1.05656,0.66498,0.67544,0.7305,0.58379,0.74981,0.71479,1.03873,0.000121099,0.000121099,0.000121099
29,10503.1,0.68883,0.59331,1.04514,0.68624,0.67207,0.73215,0.58569,0.74766,0.71049,1.0357,8.4436e-05,8.4436e-05,8.4436e-05
30,10857,0.68019,0.57918,1.03978,0.68792,0.6826,0.73417,0.58658,0.74794,0.70686,1.03519,4.7773e-05,4.7773e-05,4.7773e-05
