epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.757,1.07503,1.36957,1.23434,0.66562,0.60092,0.64063,0.41114,1.16817,1.48524,1.34965,0.000368363,0.000368363,0.000368363
2,141.205,1.22431,1.33952,1.35737,0.57107,0.52112,0.54704,0.34726,1.34077,1.69622,1.51066,0.00071432,0.00071432,0.00071432
3,207.819,1.3029,1.41579,1.41662,0.57656,0.4595,0.49122,0.29646,1.38736,1.82051,1.55047,0.00103583,0.00103583,0.00103583
4,274.248,1.31065,1.39468,1.42436,0.69936,0.53989,0.62146,0.40754,1.34097,1.58107,1.53212,0.00100101,0.00100101,0.00100101
5,339.7,1.25062,1.29668,1.38318,0.71761,0.59348,0.65163,0.42831,1.29489,1.43129,1.47155,0.000964348,0.000964348,0.000964348
6,404.843,1.21768,1.25396,1.36032,0.67586,0.59513,0.63281,0.42213,1.27636,1.48928,1.44162,0.000927685,0.000927685,0.000927685
7,471.084,1.18798,1.19608,1.33986,0.73584,0.64009,0.70991,0.48231,1.23507,1.33919,1.40672,0.000891022,0.000891022,0.000891022
8,536.35,1.15287,1.14514,1.31612,0.73547,0.62967,0.70059,0.48443,1.2272,1.24984,1.40918,0.000854359,0.000854359,0.000854359
9,601.039,1.13478,1.09881,1.2966,0.71692,0.63837,0.70196,0.47574,1.23463,1.25408,1.42199,0.000817696,0.000817696,0.000817696
10,666.359,1.12231,1.07516,1.29144,0.75836,0.68589,0.74446,0.52491,1.17371,1.13014,1.36852,0.000781033,0.000781033,0.000781033
11,731.898,1.10331,1.04081,1.28498,0.79557,0.66606,0.75227,0.54113,1.15804,1.12642,1.35085,0.00074437,0.00074437,0.00074437
12,796.71,1.08002,1.00205,1.2587,0.75325,0.70507,0.74928,0.54442,1.11133,1.07647,1.31919,0.000707707,0.000707707,0.000707707
13,861.588,1.05338,0.95374,1.23902,0.75061,0.73309,0.76503,0.55899,1.10956,1.06601,1.30643,0.000671044,0.000671044,0.000671044
14,927.278,1.05542,0.95369,1.2412,0.81333,0.70641,0.78179,0.57878,1.06922,1.02525,1.2762,0.000634381,0.000634381,0.000634381
15,992.368,1.03517,0.93667,1.23278,0.76983,0.68074,0.75694,0.55291,1.09041,1.062,1.2915,0.000597718,0.000597718,0.000597718
16,1056.91,1.00719,0.87599,1.20126,0.78423,0.7223,0.77032,0.56329,1.07965,1.0405,1.26718,0.000561055,0.000561055,0.000561055
17,1120.65,0.98673,0.85345,1.19785,0.77282,0.74204,0.7758,0.56943,1.08514,1.00784,1.28204,0.000524392,0.000524392,0.000524392
18,1185.54,0.97747,0.83885,1.19287,0.7565,0.75657,0.78931,0.5815,1.05996,1.03756,1.24797,0.000487729,0.000487729,0.000487729
19,1251.54,0.96988,0.82082,1.18602,0.78155,0.71467,0.77852,0.57632,1.06108,0.99751,1.27183,0.000451066,0.000451066,0.000451066
20,1316.52,0.95294,0.78497,1.16944,0.79699,0.72656,0.79394,0.59914,1.02398,0.98497,1.22651,0.000414403,0.000414403,0.000414403
21,1382.45,0.94437,0.74412,1.15271,0.77608,0.75722,0.78294,0.59092,1.03033,0.98091,1.25447,0.00037774,0.00037774,0.00037774
22,1446.38,0.9302,0.69373,1.14586,0.78201,0.73097,0.77917,0.58789,1.03637,0.97104,1.24336,0.000341077,0.000341077,0.000341077
23,1509.47,0.89733,0.65962,1.11794,0.81309,0.71884,0.78955,0.60048,1.02543,0.95953,1.22763,0.000304414,0.000304414,0.000304414
24,1572.77,0.88452,0.64319,1.11442,0.82151,0.72882,0.79289,0.59402,1.01659,0.93852,1.23762,0.000267751,0.000267751,0.000267751
25,1635.68,0.86507,0.61389,1.10223,0.79143,0.73566,0.79527,0.60467,1.0067,0.94366,1.22883,0.000231088,0.000231088,0.000231088
26,1699.01,0.84693,0.59536,1.0844,0.79085,0.74419,0.7922,0.60259,1.01272,0.92644,1.2283,0.000194425,0.000194425,0.000194425
27,1761.8,0.82955,0.56722,1.07003,0.78816,0.76604,0.79366,0.60698,0.99931,0.90617,1.22383,0.000157762,0.000157762,0.000157762
28,1823.71,0.81373,0.54539,1.0616,0.80492,0.74109,0.79996,0.60884,0.99471,0.90299,1.20845,0.000121099,0.000121099,0.000121099
29,1886.49,0.79822,0.53316,1.05064,0.80954,0.75698,0.80197,0.61587,0.97253,0.88502,1.20029,8.4436e-05,8.4436e-05,8.4436e-05
30,1950.26,0.78349,0.52127,1.04533,0.82071,0.74434,0.80248,0.615,0.97943,0.8931,1.20204,4.7773e-05,4.7773e-05,4.7773e-05
